"Code","Region","Remove","Community","Full_Name","Country","Long","Lat","BioregionName","SubRealm","num_nodes","EVI_mean","bin.AG.class","EVI_std","Frag_std"
"LAKMW","Subequatorial Savannas & Woodlands",0,"Lake Mweru","Lake Mweru","Zambia",29.42,-8.65,"Greater African Subequatorial Savannas & Mixed Woodlands","SubEquatorialAfrotropics",52,3329.67898383372,99.7691800395691,131.064070908165,0.0164949773302427
"LAKN","Lake Turkana",0,"Lake Nakuru","Lake Nakuru","Kenya",36.1,-0.39,"Lake Turkana-Sudd Grasslands, Bushlands & Forests","HornOfAfrica",64,221.018518518519,98.1848380590817,260.303847224838,0.782230386280488
"LAKR","Subequatorial Savannas & Woodlands",0,"Lake Rukwa","Lake Rukwa Game Reserve","Tanzania",31.92,-7.39,"Greater African Subequatorial Savannas & Mixed Woodlands","SubEquatorialAfrotropics",63,3367.21247113164,99.1277177450853,208.194009206476,0.525835339044019
"LATE","Congolian Forests",0,"Lac Tele","Lac Tele Faunal Reserve","Congo",17.23,1.19,"Central Congolian Tropical Forests","EquatorialAfrotropics",56,4822.31870669746,99.788982674367,61.9623563656012,0
"LEF","Congolian Forests",0,"Lefini","Lefini Faunal Reserve","Congo",15.43,-2.74,"South Congolian Forest-Savannas & Coastal Scarp","EquatorialAfrotropics",50,3168.32101616628,99.7568523430593,85.1062150674073,0
"LENG","Subequatorial Savannas & Woodlands",0,"Lengwe","Lengwe National Park","Malawi",34.57,-16.22,"Greater African Subequatorial Savannas & Mixed Woodlands","SubEquatorialAfrotropics",55,3436.54272517321,97.810300525081,146.045873272838,0.287624110504111
"LIWO","Subequatorial Savannas & Woodlands",0,"Liwonde","Liwonde National Park","Malawi",35.34,-14.86,"Greater African Subequatorial Savannas & Mixed Woodlands","SubEquatorialAfrotropics",61,3093.06697459584,93.651008528496,213.724960499351,3.26212981302768
"LOL","Lake Turkana",0,"Lolldaiga","Lolldaiga Hills Conservation Area","Kenya",37.13,0.122,"Lake Turkana-Sudd Grasslands, Bushlands & Forests","HornOfAfrica",60,3045.76212471132,99.4220937986219,120.690242343484,0.277685324071262
"LUA","Subequatorial Savannas & Woodlands",0,"Luando","Luando Integral Nature Reserve","Angola",17.38,-11.01,"Greater African Subequatorial Savannas & Mixed Woodlands","SubEquatorialAfrotropics",57,3579.70207852194,99.8253465778845,115.442474408111,0
"LUE","Subequatorial Savannas & Woodlands",0,"Luengue Luiana","Luengue Luiana National Park","Angola",22.52,-17.4,"Greater African Subequatorial Savannas & Mixed Woodlands","SubEquatorialAfrotropics",55,2953.50346420323,99.8278088678433,86.8489823808489,0
"MAD","Sudanian Savanna",0,"Madjoari","Madjoari Faunal Reserve","Burkina Faso",1.28,11.35,"West Sudanian Savanna","SubSaharanAfrotropics",46,2656.69976905312,86.792899408284,206.454380916974,5.16765666424393
"MAG","Subequatorial Savannas & Woodlands",0,"Mahango","Mahango Game Reserve","Namibia",22.46,-17.97,"Greater African Subequatorial Savannas & Mixed Woodlands","SubEquatorialAfrotropics",53,2656.87990762125,99.8177530017153,111.326761924809,0
"MAGO","Lake Turkana",0,"Mago","Mago National Park","Ethiopia",36.25,5.54,"Lake Turkana-Sudd Grasslands, Bushlands & Forests","HornOfAfrica",60,3309.84295612009,96.3399805447471,142.322169898513,4.05951677095312
"MAJ","Subequatorial Savannas & Woodlands",0,"Majete","Majete Wildlife Reserve","Malawi",34.62,-15.92,"Greater African Subequatorial Savannas & Mixed Woodlands","SubEquatorialAfrotropics",57,3462.74595842956,98.8200264666961,96.9193587118443,0.0393881288180183
"MANA","Subequatorial Savannas & Woodlands",0,"Mana Pools","Mana Pools National Park","Zimbabwe",29.46,-15.97,"Greater African Subequatorial Savannas & Mixed Woodlands","SubEquatorialAfrotropics",62,3078.11316397229,98.4764699243878,63.0647563825306,0
"MANNP","Sudanian Savanna",0,"Manda","Manda National Park","Chad",18.02,9.41,"West Sudanian Savanna","SubSaharanAfrotropics",46,3252.10161662818,98.7305122494432,168.577333799063,3.73444045448773
"MARE","Sudanian Savanna",0,"Mare aux Hippopotames","Mare aux Hippopotames","Burkina Faso",-4.15,11.59,"West Sudanian Savanna","SubSaharanAfrotropics",37,2800.68360277136,92.8609341825902,200.822079657682,2.53226560446583
"MARS","Lake Turkana",0,"Marsabit","Marsabit National Park","Kenya",37.96,2.27,"Lake Turkana-Sudd Grasslands, Bushlands & Forests","HornOfAfrica",50,4431.62586605081,98.3014609811141,234.276606378997,1.14096635043571
"MASA","Subequatorial Savannas & Woodlands",0,"Masai Mara","Masai Mara National Reserve","Kenya",35.11,-1.47,"Greater African Subequatorial Savannas & Mixed Woodlands","SubEquatorialAfrotropics",70,3358.85912240185,99.8233215547703,109.447299725709,0
"MAT","Subequatorial Savannas & Woodlands",0,"Matusadona","Matusadona National Park","Zimbabwe",28.59,-16.96,"Greater African Subequatorial Savannas & Mixed Woodlands","SubEquatorialAfrotropics",56,2972.35565819861,89.769820971867,74.5732407678774,4.08733876628053
"MATO","Subequatorial Savannas & Woodlands",0,"Matobo","Matobo National Park","Zimbabwe",28.52,-20.55,"Greater African Subequatorial Savannas & Mixed Woodlands","SubEquatorialAfrotropics",58,2859.23556581986,99.8295151838039,78.1366496838038,0
